The values of precison and recall as per the cutoff of training patterns and training outputs
Cutoff 	Top 	Precison 	Recall 		fScore
5		18516	0.003240	1.000000	0.006460
5		25		0.000000	0.000000	0.000000
5		20		0.000000	0.000000	0.000000
5		15		0.000000	0.000000	0.000000
5		10		0.000000	0.000000	0.000000
5		5		0.000000	0.000000	0.000000
10		41550	0.003008	1.000000	0.005999
10		25		0.000000	0.000000	0.000000
10		20		0.000000	0.000000	0.000000
10		15		0.000000	0.000000	0.000000
10		10		0.000000	0.000000	0.000000
10		5		0.000000	0.000000	0.000000
15		67060	0.002431	1.000000	0.004850
15		25		0.000000	0.000000	0.000000
15		20		0.000000	0.000000	0.000000
15		15		0.000000	0.000000	0.000000
15		10		0.000000	0.000000	0.000000
15		5		0.000000	0.000000	0.000000
