The values of precison and recall as per the cutoff of training patterns and training outputs
Cutoff 	Top 	Precison 	Recall 		fScore
0		6826	0.000879	1.000000	0.001756
0		25		0.080000	0.333333	0.129032
0		20		0.050000	0.166667	0.076923
0		15		0.066667	0.166667	0.095238
0		10		0.100000	0.166667	0.125000
0		5		0.200000	0.166667	0.181818
5		36		0.027778	0.166667	0.047619
5		25		0.040000	0.166667	0.064516
5		20		0.050000	0.166667	0.076923
5		15		0.066667	0.166667	0.095238
5		10		0.100000	0.166667	0.125000
5		5		0.200000	0.166667	0.181818
10		522		0.005747	0.500000	0.011364
10		25		0.040000	0.166667	0.064516
10		20		0.050000	0.166667	0.076923
10		15		0.066667	0.166667	0.095238
10		10		0.100000	0.166667	0.125000
10		5		0.200000	0.166667	0.181818
15		576		0.005208	0.500000	0.010309
15		25		0.040000	0.166667	0.064516
15		20		0.050000	0.166667	0.076923
15		15		0.066667	0.166667	0.095238
15		10		0.100000	0.166667	0.125000
15		5		0.200000	0.166667	0.181818
20		847		0.003542	0.500000	0.007034
20		25		0.040000	0.166667	0.064516
20		20		0.050000	0.166667	0.076923
20		15		0.066667	0.166667	0.095238
20		10		0.100000	0.166667	0.125000
20		5		0.200000	0.166667	0.181818
