The values of precison and recall as per the cutoff of training patterns and training outputs
Cutoff 	Top 	Precison 	Recall 	fScore

5	723		0.003998	0.047619	0.007377
5	25		0.000000	0.000000	0.000000
5	20		0.000000	0.000000	0.000000
5	15		0.000000	0.000000	0.000000
5	10		0.000000	0.000000	0.000000
5	5		0.000000	0.000000	0.000000

10	1528	0.004287	0.128205	0.008297
10	25		0.000000	0.000000	0.000000
10	20		0.000000	0.000000	0.000000
10	15		0.000000	0.000000	0.000000
10	10		0.000000	0.000000	0.000000
10	5		0.000000	0.000000	0.

15	2146	0.003873	0.190476	0.007592
15	25		0.000000	0.000000	0.000000
15	20		0.000000	0.000000	0.000000
15	15		0.000000	0.000000	0.000000
15	10		0.000000	0.000000	0.000000
15	5		0.000000	0.000000	0.000000

20	2264	0.003936	0.203297	0.007723
20	25		0.000000	0.000000	0.000000
20	20		0.000000	0.000000	0.000000
20	15		0.000000	0.000000	0.000000
20	10		0.000000	0.000000	0.000000
20	5		0.000000	0.000000	0.000000

25	2353	0.006371	0.342491	0.012509
25	25		0.000000	0.000000	0.000000
25	20		0.000000	0.000000	0.000000
25	15		0.000000	0.000000	0.000000
25	10		0.000000	0.000000	0.000000
25	5		0.000000	0.000000	0.000000

0	8536	0.006185	1.000000	0.012294
0	25		0.027740	1.000000	0.053982
0	20		0.000000	0.000000	0.000000
0	15		0.000000	0.000000	0.000000
0	10		0.000000	0.000000	0.000000
0	5		0.000000	0.000000	0.000000
